150220060,II,1907,GORLICZYNA,MLECZKA,222914,500508
152180020,IV,1975,GORYSZEWO,PANNA,180208,523737
151180070,II,1930,GORZÓW ŚLĄSKI,PROSNA,182604,510207
152150040,I,1780,GORZÓW WIELKOPOLSKI,WARTA,151511,524348
150160100,II,1904,GORZUCHÓW,ŚCINAWKA,163416,502907
152150140,II,1928,GOŚCIMIEC,NOTEĆ,153819,524633
152140020,I,1854,GOZDOWICE,ODRA,141904,524551
150230070,II,1977,GOZDÓW,HUCZWA,234826,504639
149180120,II,1946,GÓRKI WIELKIE,BRENNICA,185109,494621
151180180,II,1940,GRABNO,GRABIA,185907,512730
154160060,III,1974,GRABOWO,GRABOWA,162613,541756
150180080,II,1985,GRABÓWKA,BIERAWKA,181633,501704
150210200,II,2005,GRĘBÓW,ŁĘG,215443,503433
153230160,IV,1958,GRÓDEK,SUPRAŚL,234018,530542
153180100,I,1810,GRUDZIĄDZ,WISŁA,184443,532906
149200310,II,1934,GRYBÓW,BIAŁA,205645,493726
153140030,II,1883,GRYFINO,ODRA,142904,531525
151150110,II,2005,GRYFÓW ŚLĄSKI,KWISA,152447,510135
152180140,II,1937,GRZEGORZEW,RGILEWKA,184434,521200
151140010,I,1889,GUBIN,NYSA ŁUŻYCKA,144225,515819
151210050,II,1974,GUSIN,WISŁA,211517,515335
153160200,IV,1891,GWDA WIELKA,GWDA,164737,534425
153230130,II,1971,HARASIMOWICZE,SIDRA,232656,533945
150220050,II,1904,HARASIUKI,TANEW,222827,502839
153180120,I,1896,HEL,MORZE BAŁTYCKIE,184802,543607
149220070,II,1926,HOCZEW,HOCZEWKA,221942,492526
152220060,III,1966,HRUSZEW,TOCZNA,224313,521914
153200010,IV,1971,IDZBARK,DRWĘCA,200203,534020
153190080,IV,1946,IŁAWA,JEZ. JEZIORAK (IŁAWKA),193323,533552
151150030,II,1948,IŁOWA,CZERNA MAŁA,151154,513011
152170050,III,1975,IMIOŁKI,JEZ. LEDNICA,172302,523346
153150060,III,1975,IŃSKO,JEZ. IŃSKO (KANAŁ INY),153242,532621
149210140,II,1955,ISKRZYNIA,MORWAWA,215151,494038
149180130,I,1959,ISTEBNA,OLZA,185334,493419
154170090,II,1955,IZBICA,JEZ. ŁEBSKO (ŁEBA),172541,544052
149190240,I,1947,JABŁONKA,CZARNA ORAWA,194127,492814
149190250,I,1954,JABŁONKA,PIEKIELNIK,194143,492820
152210140,IV,1924,JAGODNE,KOSTRZYŃ,215841,521206
150200130,IV,1868,JAGODNIKI,WISŁA,204055,501202
149200200,II,1898,JAKUBKOWICE,ŁOSOSINA,203748,494422
150150030,II,1973,JAKUSZYCE,KAMIENNA,152624,504921
153230120,I,1973,JAŁOWY RÓG,CZARNA HAŃCZA,232421,535400
150190350,II,1972,JANUSZEWICE,CZARNA,195739,505630
151160190,II,1953,JARNOŁTÓW,BYSTRZYCA,165034,510719
150170080,II,1974,JARNOŁTÓWEK,ZŁOTY POTOK,172541,501709
150220100,II,1869,JAROSŁAW,SAN,224210,500116
154170140,IV,1970,JASIEŃ,JEZ. JASIEŃ PD. (ŁUPAWA),173649,541722
149210080,II,1887,JASŁO,JASIOŁKA,212823,494501
149190060,II,1887,JAWISZOWICE,WISŁA,190719,495821
151160090,II,1887,JAWOR,NYSA SZALONA,161123,510254
150150080,II,1887,JELENIA GÓRA,BÓBR,154317,505439
150150070,II,1954,JELENIA GÓRA,KAMIENNA,154320,505355
150190180,I,1896,JELEŃ,PRZEMSZA,191423,500940
153170130,IV,1946,JEZIORNA,JEZ. WDZYDZE (WDA),175453,535723
152169998,III,2007,JEZIORY,JEZ. GÓRECKIE,164743,521606
149190290,II,1928,JORDANÓW,SKAWA,194948,493811
150160060,II,1904,JUGOWICE,BYSTRZYCA,162412,504359
154220050,I,1954,JURKISZKI,GOŁDAPA,222205,541833
153200030,II,1990,KALISTY,PASŁĘKA,201145,535502
149220110,II,1965,KALNICA,WETLINA,222545,491120
149190020,II,1910,KAMESZNICA,BYSTRA,190411,493405
150160270,II,2005,KAMIENIEC ZĄBKOWICKI,BUDZÓWKA,165154,503156
150160010,II,1889,KAMIENNA GÓRA,BÓBR,160210,504711
150180010,II,1940,KAMIONKA,STRADUNIA,180233,502328
151160220,II,2005,KANCLERZOWICE,SĄSIECZNICA,165722,512713
150170150,II,1995,KARŁOWICE,STOBRAWA,174318,505243
153230020,II,1946,KARPOWICZE,BRZOZÓWKA,230236,533507
150200150,I,1869,KARSY,WISŁA,204629,501630
149200040,II,1966,KASINKA MAŁA,RABA,200157,494217
151210080,II,1990,KAZANÓW,IŁŻANKA,212800,511624
152190120,I,1968,KĘPA POLSKA,WISŁA,195748,522553
152200010,II,1929,KĘSZYCE,RAWKA,200753,520809
154220100,III,1977,KLESZCZÓWEK,SZESZUPA,225438,541615
149210030,II,1887,KLĘCZANY,ROPA,211300,494205
154170210,III,2003,KLUKI,JEZ. ŁEBSKO (ŁEBA),172127,544059
152190060,IV,1960,KLUSEK,SKRWA LEWA,192932,523028
150180250,IV,1955,KŁODNICA,KŁODNICA,185151,501412
150160180,II,1884,KŁODZKO,NYSA KŁODZKA,163931,502632
151190080,II,1929,KŁUDZICE,LUCIĄŻA,194655,512057
152170190,III,2011,KOCHOWO,MESZNA,175658,522151
152180120,II,1946,KOŁO,WARTA,183804,521143
150210150,I,2005,KOŁO,WISŁA,213040,503017
154150030,I,1810,KOŁOBRZEG,MORZE BAŁTYCKIE,153312,541112
153160290,III,2011,KOMORZE,JEZ. KOMORZE,162036,533746
152180160,II,2012,KONIN-MORZYSŁAW,KANAŁ ŚLESIŃSKI,181739,521349
149190280,II,1966,KONIÓWKA,DUNAJEC,194905,492344
152160060,IV,1940,KONOJAD,MOGILNICA,163156,520904
150170100,II,1884,KOPICE,NYSA KŁODZKA,172842,503844
150210160,II,1925,KOPRZYWNICA,KOPRZYWIANKA,213423,503545
151160200,II,1897,KORZEŃSKO,ORLA,165221,513221
154160120,II,1947,KORZYBIE,WIEPRZA,165242,541650
152170160,III,2007,KOSEWO,DOPŁYW Z JEZ. KOSEWSKIEGO,175703,522402
152140070,II,1818,KOSTRZYN NAD ODRĄ,WARTA,143944,523455
152140060,II,2004,KOSTRZYN NAD ODRĄ,ODRA,143634,523603
154160030,III,1947,KOSZALIN,DZIERŻĘCINKA,161120,541108
149200320,II,1891,KOSZYCE WIELKIE,BIAŁA,205658,495950
152160090,II,1952,KOŚCIAN,KANAŁ MOSIŃSKI,163839,520524
152180110,II,1937,KOŚCIELEC,KIEŁBASKA,183431,521031
149190300,II,1917,KOŚCIELISKO-KIRY,KIROWA WODA,195205,491633
151220010,I,1919,KOŚMIN,WIEPRZ,220005,513423
152160110,II,1959,KOWANÓWKO,WEŁNA,165012,524007
150150110,II,1904,KOWARY,JEDLICA,155003,504741
150180270,II,2005,KOZŁOWA GÓRA,BRYNICA,185819,502444
150180030,II,1862,KOŹLE,ODRA,180848,502107
149210050,II,1942,KRAJOWICE,WISŁOKA,212445,494620
150190340,I,1956,KRAKÓW-BIELANY,WISŁA,195036,500225
150170240,I,1834,KRAPKOWICE,ODRA,175805,502838
150160120,II,1936,KRASKÓW,BYSTRZYCA,163502,505456
153210020,IV,1929,KRASNOSIELC,ORZYC,210916,530207
150230040,II,1923,KRASNYSTAW,WIEPRZ,231036,505907
151180060,II,2005,KRASZEWICE,ŁUŻYCA,181335,513110
154160090,III,1946,KRĄG,GRABOWA,164323,541434
153180060,II,1930,KRĄPLEWICE,WDA,182251,532922
149210090,II,1997,KREMPNA-KOTAŃ,WISŁOKA,212859,493055
150190240,II,1930,KRĘCIWILK,WARTA,192213,503243
154170020,IV,1975,KRĘPA,GLAŹNA,170257,542507
154210040,IV,1974,KRONOWO,JEZ. DEJGUNY (KANAŁY IŁAWKI I DEJGUNY),213402,540300
149210110,II,1888,KROSNO,WISŁOK,214629,494138
